query	class
my issue on Monday	1
oracle analyst with 5+ years of experience	3
.net expert with 5+ years of experience	3
list all my recommended events I am participating for this week	0
java related case studie	2
java related training between 1st of May and 2nd of December	2
what are all my in progress task tomorrow	1
what are all my in progress risks between 1st of May and 2nd of December	1
list all my in progress apricot for next week	1
my project apricots From 17th April and 1st of May	1
iOS developer in scala	3
scala course tomorrow	2
list all celebration in mumbai on wednesday	0
developer in ajax with 5+ years of experience	3
my project issue tomorrow	1
list all my upcoming celebration in Chennai for next week	0
designer in scala with 5+ years of experience	3
courses for this week	2
list all my upcoming corporate in newyork for this month	0
what are all my closed issue on this Saturday	1
courses in ajax on Monday	2
what are all my closed risks today	1
what are all my in progress apricots on wednesday	1
what are all my initiated risks for this week	1
what are all the event I am participating tomorrow	0
ajax analyst with experience less than 10 years	3
.net competencie for this week	2
scala related analysts in java	3
my project workshops in mumbai for this week	0
ajax white paper From 17th April and 1st of May	2
my project celebration on this Saturday	0
java related white papers tomorrow	2
list all my in progress apricot for this week	1
what are all my in progress issue on next tuesday	1
what are all my recommended event I am organizing From 17th April and 1st of May	0
my conference in Chennai on Monday	0
d&i corporate I am organizing From 17th April and 1st of May	0
what are all my initiated task on 21st April	1
best practice for this week	2
list all my open issue From 17th April and 1st of May	1
SCALA workshop in Chennai on 21st April	0
analysts with 2-7 years of experience in oracle	3
android analyst in scala	3
scala related expert with experience more than 3 years	3
android lead with experience more than 3 years	3
list all my in progress task on 21st April	1
what are all the case studie on 21st April	2
java designers in java	3
ajax white papers for next week	2
scala related white paper today	2
iOS architect in scala	3
Hub corporate in Chennai on this Saturday	0
ajax lead in ajax	3
list all the experts in ajax	3
my event in mumbai for next week	0
courses in ajax for this week	2
SCALA trainings I am participating on wednesday	0
java courses	2
scala case studie From 17th April and 1st of May	2
scala white paper	2
what are all my open tasks on wednesday	1
list all my closed task on 21st April	1
Hub corporates for this week	0
what are all my in progress tasks for this week	1
java conferences in mumbai on this Saturday	0
ajax designer in oracle	3
who are all the architect with 2-7 years of experience	3
risks for this month	1
my corporates in newyork for this month	0
list all workshop in london for next week	0
what are all my open apricots on this Saturday	1
oracle best practices for this month	2
ajax architect	3
task on this Saturday	1
java best practices today	2
java celebrations in london for this week	0
list all my risks on Monday	1
list all my in progress issues on wednesday	1
what are all my initiated issue for next week	1
list all my project task on next tuesday	1
what are all my closed apricot on this Saturday	1
oracle leads with experience more than 3 years	3
list all my closed risks for this month	1
SAP analysts in java	3
UX celebrations in london on next tuesday	0
risk on thursday	1
what are all my closed risk on thursday	1
Hub conferences I am participating	0
list all my project issue on wednesday	1
scala related experts in java	3
what are all my upcoming conferences in Chennai for next month	0
scala analysts with 5 years of experience	3
list all my in progress apricots on 21st April	1
list all my in progress issue on 21st April	1
lessons learnts on this Saturday	2
list all my open issues for this month	1
list all my project issue on this Saturday	1
list all my closed apricots for next week	1
lessons learnts published in java tomorrow	2
what are all my open apricot for this month	1
my course on next tuesday	2
list all my closed apricot today	1
my conference I am speaking tomorrow	0
list all my closed risk for this week	1
java related competencies tomorrow	2
UX analysts with 2-7 years of experience	3
IBelong celebration in newyork for this week	0
UX events I am participating today	0
UX celebration I am speaking	0
competencies available in scala for this week	2
what are all my initiated apricot today	1
list all my initiated risks on next tuesday	1
UX experts with 2-7 years of experience	3
what are all my upcoming training on wednesday	0
competencie in ajax for this week	2
course in ajax for this month	2
analysts with experience less than 10 years in oracle	3
competencies in oracle on thursday	2
designer in java with 5+ years of experience	3
case studies on thursday	2
SAP best practice for this week	2
list all the course between 1st of May and 2nd of December	2
java related courses From 17th April and 1st of May	2
list all my project tasks for this week	1
my issues on next tuesday	1
developers with experience less than 10 years in ajax	3
list all my celebrations in bangalore From 17th April and 1st of May	0
SCALA conferences I am speaking tomorrow	0
oracle developers with 5 years of experience	3
scala case studies on wednesday	2
java lessons learnts today	2
designers with 5 years of experience in ajax	3
oracle training	2
oracle workshop in Chennai on Monday	0
my workshop on 21st April	0
SAP developer in ajax	3
developers with 2-7 years of experience in java	3
scala related lessons learnt on thursday	2
oracle architects	3
what are all my closed issues From 17th April and 1st of May	1
oracle best practices on 21st April	2
SAP best practice on next tuesday	2
analyst with 2-7 years of experience in ajax	3
list all my in progress risks for next week	1
expert in java with experience less than 10 years	3
my project training I am participating for this week	0
list all my in progress task for next month	1
list all my open task on thursday	1
my project apricots for next week	1
lead in scala with experience less than 10 years	3
oracle lead with experience more than 3 years	3
my events in london today	0
what are all my open issues From 17th April and 1st of May	1
list all my closed apricot tomorrow	1
list all the best practices From 17th April and 1st of May	2
my risks for next week	1
oracle celebrations I am participating for this week	0
.net lessons learnt From 17th April and 1st of May	2
.net designers with experience more than 3 years	3
Python workshops I am organizing today	0
UI events for next month	0
list all my in progress apricot on 21st April	1
scala case studies between 1st of May and 2nd of December	2
java trainings happening in chennai on Monday	0
list all my event in london on wednesday	0
developers with 5+ years of experience in java	3
scala architects in ajax	3
my project task tomorrow	1
.net architects in ajax	3
what are all my upcoming conferences in newyork tomorrow	0
oracle proposals on next tuesday	2
list all my project conferences I am speaking on this Saturday	0
my project workshop in mumbai for next month	0
java related courses on thursday	2
oracle proposal From 17th April and 1st of May	2
list all my open apricots on Monday	1
what are all my initiated risk today	1
scala training on wednesday	2
list all the analysts with 5+ years of experience	3
what are all my recommended event on thursday	0
designer with experience more than 3 years	3
my project tasks on Monday	1
proposal published in java on thursday	2
my project workshop in Chennai for next month	0
what are all my open issue between 1st of May and 2nd of December	1
scala related white paper on next tuesday	2
my risks on 21st April	1
list all my upcoming trainings I am speaking	0
list all my upcoming conferences in mumbai for this month	0
oracle trainings between 1st of May and 2nd of December	2
list all my risks for this month	1
lead with 5 years of experience in scala	3
.net trainings on thursday	2
oracle corporates in newyork for next month	0
my project risks for this month	1
list all my upcoming trainings I am speaking on next tuesday	0
who are all the experts with experience more than 3 years	3
best practices available in scala for this week	2
case studie in ajax for this week	2
UX event I am participating for next week	0
case studies available in scala today	2
SCALA celebration on next tuesday	0
my best practice for next month	2
lead in ajax	3
list all the course for this week	2
best practices in oracle today	2
list all my project risks From 17th April and 1st of May	1
d&i events I am participating on wednesday	0
training available in scala for next month	2
list all the analyst with 2-7 years of experience	3
proposals on wednesday	2
ajax expert with experience less than 10 years	3
scala related developers with 5+ years of experience	3
lessons learnts for next month	2
.net architects in oracle	3
list all my project issues between 1st of May and 2nd of December	1
leads in ajax with experience more than 3 years	3
my project issue on Monday	1
event in mumbai	0
list all my recommended conference happening in chennai today	0
SAP case studies tomorrow	2
list all my in progress tasks for this week	1
list all the best practice on wednesday	2
what are all my closed tasks today	1
lessons learnts in oracle on this Saturday	2
list all my upcoming training I am participating for next week	0
analyst with experience more than 3 years in oracle	3
expert with experience less than 10 years in scala	3
celebrations on Monday	0
list all my upcoming celebration happening in chennai on thursday	0
my training for this week	0
java conferences in Chennai on 21st April	0
java related proposal tomorrow	2
what are all my closed issues on wednesday	1
list all the analyst in scala	3
list all corporates I am organizing for this week	0
list all my initiated issue on wednesday	1
case studie available in scala between 1st of May and 2nd of December	2
course in ajax on thursday	2
designers in oracle with experience more than 3 years	3
list all my open issues tomorrow	1
what are all my initiated tasks on Monday	1
my apricot for this week	1
Hub celebrations in bangalore From 17th April and 1st of May	0
list all my in progress apricots for this month	1
list all the architects in java	3
scala related designer with experience more than 3 years	3
what are all my open risks on 21st April	1
oracle architect with 2-7 years of experience	3
what are all my initiated risks for this month	1
java related course From 17th April and 1st of May	2
course in ajax	2
Hub workshops in mumbai for this month	0
IBelong workshops in mumbai on 21st April	0
android architect in ajax	3
what are all my upcoming corporate in bangalore on wednesday	0
case studies in oracle on thursday	2
UX events I am speaking tomorrow	0
.net lead with experience more than 3 years	3
trainings tomorrow	2
oracle corporates in newyork on Monday	0
list all my project issue on Monday	1
what are all my closed issue for next month	1
iOS architect in ajax	3
d&i celebrations in mumbai tomorrow	0
list all the analyst with 5+ years of experience	3
oracle experts in oracle	3
my workshops for this week	0
architect with experience less than 10 years in oracle	3
scala related experts with experience less than 10 years	3
what are all my closed issue tomorrow	1
list all my task on Monday	1
what are all my in progress risk between 1st of May and 2nd of December	1
list all my closed risks on wednesday	1
Python workshops I am organizing on this Saturday	0
what are all my recommended training on next tuesday	0
what are all my initiated task on this Saturday	1
best practice for next month	2
.net white paper between 1st of May and 2nd of December	2
IBelong celebrations in newyork between 1st of May and 2nd of December	0
what are all the lessons learnt	2
SAP experts	3
android architects with experience less than 10 years	3
UI conferences in london on Monday	0
oracle architects with 5 years of experience	3
oracle designer with 2-7 years of experience	3
lessons learnt in ajax tomorrow	2
training in oracle on next tuesday	2
iOS developer in ajax	3
analysts with experience more than 3 years	3
what are all the case studie on this Saturday	2
list all the white paper tomorrow	2
experts in ajax	3
trainings for next month	2
list all my closed issues From 17th April and 1st of May	1
my project corporates in newyork on next tuesday	0
what are all my open task on this Saturday	1
list all the lead with experience more than 3 years	3
my celebration in newyork on this Saturday	0
list all my closed issue on next tuesday	1
oracle conferences in london for this month	0
.net training between 1st of May and 2nd of December	2
list all trainings I am speaking on Monday	0
oracle white paper for next week	2
what are all my recommended celebrations in Chennai for this week	0
my project celebration in london on next tuesday	0
what are all the white papers	2
java related proposals for next month	2
list all the course on wednesday	2
d&i workshops happening in chennai	0
my best practices tomorrow	2
list all my upcoming event I am speaking on this Saturday	0
ajax leads in oracle	3
designer with 5+ years of experience in oracle	3
java case studie on this Saturday	2
proposals in oracle	2
list all my celebration in london on wednesday	0
oracle designers in ajax	3
d&i corporates in Chennai for next month	0
UX corporate I am speaking on this Saturday	0
my tasks on this Saturday	1
my case studie on wednesday	2
Python workshops in bangalore for next month	0
what are all my open apricots for this month	1
scala related courses for this month	2
scala trainings From 17th April and 1st of May	2
SAP training on next tuesday	2
.net training for this month	2
UX designers in ajax	3
scala training on next tuesday	2
list all my project event on next tuesday	0
SAP experts with experience more than 3 years	3
designers with experience less than 10 years in java	3
what are all my initiated risk between 1st of May and 2nd of December	1
list all my initiated issues on Monday	1
.net competencies on thursday	2
scala related proposal today	2
oracle case studies on Monday	2
proposal for this week	2
java competencie for next month	2
what are all my upcoming conference I am speaking on this Saturday	0
java courses on next tuesday	2
java related lessons learnt on this Saturday	2
analysts in java with experience less than 10 years	3
list all my upcoming celebration happening in chennai on next tuesday	0
my issues on Monday	1
what are all my in progress issues between 1st of May and 2nd of December	1
iOS expert in scala	3
SAP case studie	2
who are all the developer	3
Python celebrations I am participating between 1st of May and 2nd of December	0
my project risk on this Saturday	1
UI celebrations happening in chennai on 21st April	0
my project apricots on 21st April	1
list all my in progress apricot on next tuesday	1
my project issues on wednesday	1
java case studies for next month	2
scala experts with 5 years of experience	3
.net leads	3
architect with 2-7 years of experience in oracle	3
d&i workshop in london for next week	0
what are all the competencies for next month	2
SAP analysts in ajax	3
my apricot on Monday	1
competencies published in java for next week	2
proposals in ajax on next tuesday	2
scala architect in oracle	3
SCALA events I am participating on 21st April	0
competencie available in scala From 17th April and 1st of May	2
iOS leads in scala	3
what are all my in progress tasks on thursday	1
oracle lessons learnt on thursday	2
my conference for this week	0
competencies in oracle on next tuesday	2
java related training on Monday	2
lead in ajax with experience more than 3 years	3
what are all my open apricots From 17th April and 1st of May	1
java competencie on Monday	2
case studie available in scala From 17th April and 1st of May	2
what are all the celebrations I am speaking	0
SAP architect in ajax	3
scala lead	3
SAP designers in scala	3
list all my apricots From 17th April and 1st of May	1
proposal for next month	2
.net white papers for this month	2
what are all my upcoming corporate in bangalore	0
d&i workshops for next week	0
Python workshops in newyork on Monday	0
Hub event happening in chennai	0
d&i celebrations in Chennai on Monday	0
SAP white paper on this Saturday	2
list all my in progress issue for next week	1
my risk for this week	1
ajax training on this Saturday	2
what are all my recommended celebrations in london on Monday	0
designer in oracle with experience more than 3 years	3
list all my risks on next tuesday	1
.net designers in oracle	3
lessons learnts in oracle From 17th April and 1st of May	2
designers in java with 2-7 years of experience	3
UI corporate happening in chennai From 17th April and 1st of May	0
.net designers in ajax	3
scala related white papers for this month	2
my trainings I am participating	0
UI training I am participating for next month	0
what are all my initiated issues for next month	1
.net architects with experience less than 10 years	3
.net lessons learnt for next month	2
list all the case studies for next month	2
what are all my in progress issues for next week	1
developers in java with experience more than 3 years	3
analyst with experience more than 3 years in java	3
list all my initiated risks on this Saturday	1
list all my in progress task on next tuesday	1
developer with 5+ years of experience in oracle	3
risks on this Saturday	1
architect in java with experience less than 10 years	3
scala related experts with 5 years of experience	3
my apricots on this Saturday	1
list all the best practices for this week	2
my competencie between 1st of May and 2nd of December	2
trainings between 1st of May and 2nd of December	2
d&i celebration in london on next tuesday	0
oracle designer with 5 years of experience	3
.net leads with experience more than 3 years	3
training in ajax for next month	2
list all my trainings happening in chennai for next month	0
list all the best practice today	2
Hub events in newyork on thursday	0
my events in bangalore for next week	0
Hub trainings I am speaking for this month	0
what are all the case studie on thursday	2
scala analysts in java	3
what are all my initiated apricots for this month	1
UX developer in scala	3
UX developers in java	3
SAP architect with experience less than 10 years	3
scala designers in oracle	3
UX designer with 2-7 years of experience	3
list all my upcoming conference in Chennai From 17th April and 1st of May	0
lead in java with experience more than 3 years	3
scala courses today	2
my project tasks today	1
java related courses on wednesday	2
.net course tomorrow	2
Python workshops in london between 1st of May and 2nd of December	0
list all event in Chennai on wednesday	0
who are all the lead	3
my risk From 17th April and 1st of May	1
lessons learnts published in java on wednesday	2
list all the course tomorrow	2
who are all the architects in java	3
oracle leads with 5+ years of experience	3
my risks for this week	1
list all my in progress issues on 21st April	1
scala related white paper for this month	2
case studies published in java for next month	2
list all my recommended conference I am participating today	0
list all my upcoming event happening in chennai From 17th April and 1st of May	0
scala related course tomorrow	2
scala lead in scala	3
SCALA celebrations for this month	0
my events in mumbai for next week	0
oracle case studies for next month	2
Python celebration today	0
analysts in ajax with 5 years of experience	3
risks for this week	1
java competencies for this week	2
what are all the trainings on next tuesday	2
proposal available in scala between 1st of May and 2nd of December	2
white papers available in scala on Monday	2
architects with 2-7 years of experience in java	3
my workshop in london for this week	0
list all my recommended events in london for next month	0
list all my open task for next month	1
iOS experts with experience less than 10 years	3
ajax analysts with 5 years of experience	3
list all my initiated risk on this Saturday	1
my workshop in bangalore for this week	0
my case studies for this month	2
lessons learnt available in scala for next month	2
.net competencie for next week	2
what are all my initiated apricot on Monday	1
analysts in scala with 5+ years of experience	3
oracle lessons learnts for next month	2
what are all my initiated issue on wednesday	1
scala proposal for next week	2
list all my project apricots tomorrow	1
oracle analysts in scala	3
list all my event in Chennai tomorrow	0
competencies in oracle on this Saturday	2
IBelong event in Chennai From 17th April and 1st of May	0
lessons learnts in ajax for this month	2
designers with experience less than 10 years in oracle	3
java designers with 5+ years of experience	3
what are all my closed task on Monday	1
java developers in scala	3
what are all my in progress task for this month	1
scala course on 21st April	2
iOS leads in ajax	3
SCALA corporate happening in chennai for next month	0
what are all my recommended trainings in bangalore for this week	0
list all my open risks tomorrow	1
list all my initiated apricot on wednesday	1
my project apricots on thursday	1
.net expert in ajax	3
list all my project workshops happening in chennai on 21st April	0
expert with 5+ years of experience in oracle	3
best practices in oracle for this month	2
UI celebrations in newyork on 21st April	0
designers in ajax with 5+ years of experience	3
SAP lessons learnt on wednesday	2
list all the case studies on Monday	2
analyst in ajax with experience less than 10 years	3
scala white paper for this week	2
list all my open apricots on this Saturday	1
scala leads with experience more than 3 years	3
UX trainings in Chennai From 17th April and 1st of May	0
designers in java	3
ajax training on thursday	2
competencies in oracle for next week	2
ajax lessons learnt today	2
developers with 5 years of experience in ajax	3
list all my initiated risks on wednesday	1
oracle celebration happening in chennai today	0
list all my task From 17th April and 1st of May	1
analyst with 2-7 years of experience in oracle	3
issues for next week	1
competencie in ajax on Monday	2
UI trainings I am organizing on this Saturday	0
list all the trainings for next week	2
ajax designers with 2-7 years of experience	3
expert with 5 years of experience in ajax	3
SAP designers in java	3
Hub trainings I am speaking on this Saturday	0
white paper published in java on thursday	2
developers with 5 years of experience in oracle	3
scala expert in oracle	3
SAP case studies	2
architects with experience less than 10 years in ajax	3
my issues on 21st April	1
what are all the case studies for next week	2
list all my tasks on 21st April	1
list all the architect in scala	3
scala related courses for this week	2
list all my initiated tasks for this week	1
scala related analysts with 5+ years of experience	3
what are all my open risks on this Saturday	1
what are all my initiated apricot on next tuesday	1
oracle conferences in mumbai for next week	0
Python corporate I am organizing on wednesday	0
java leads with 5 years of experience	3
case studie available in scala for next month	2
list all my project issue for next week	1
list all my initiated risks for next week	1
lessons learnt in oracle between 1st of May and 2nd of December	2
architects in scala with 5 years of experience	3
apricot between 1st of May and 2nd of December	1
list all my project issues for this month	1
lead in oracle with 2-7 years of experience	3
UX lead in scala	3
list all my initiated apricot for this month	1
my project risk for this month	1
developers in java with 2-7 years of experience	3
android analysts in scala	3
list all my conferences in mumbai on 21st April	0
list all my apricots on thursday	1
leads with 2-7 years of experience in ajax	3
who are all the analyst in oracle	3
who are all the lead with 2-7 years of experience	3
list all my open risk for next month	1
what are all my in progress issue tomorrow	1
competencie in ajax between 1st of May and 2nd of December	2
what are all the competencies on 21st April	2
my project event in bangalore for this month	0
list all my project apricots for this week	1
SAP analysts with experience more than 3 years	3
who are all the architects with 5 years of experience	3
ajax competencie	2
.net trainings on wednesday	2
oracle training I am participating today	0
list all my project risk on wednesday	1
what are all my recommended conference in mumbai on wednesday	0
list all my recommended training happening in chennai From 17th April and 1st of May	0
scala related lessons learnts on 21st April	2
list all the developer with 2-7 years of experience	3
what are all my in progress risk tomorrow	1
list all my project risk today	1
list all my project apricots for next month	1
IBelong event in Chennai on Monday	0
my project tasks for next week	1
ajax white paper on wednesday	2
ajax developers in java	3
what are all my initiated risk for this month	1
oracle celebrations I am participating on 21st April	0
java proposal between 1st of May and 2nd of December	2
list all my risk on wednesday	1
what are all my initiated risk for this week	1
scala related proposal between 1st of May and 2nd of December	2
what are all my initiated issue on thursday	1
java training I am organizing on wednesday	0
list all my risks for next week	1
my event happening in chennai on 21st April	0
white paper available in scala From 17th April and 1st of May	2
ajax training today	2
what are all my in progress apricot for this week	1
.net trainings for this week	2
IBelong events in bangalore on 21st April	0
list all my project apricots From 17th April and 1st of May	1
list all the lessons learnt tomorrow	2
my competencies for next month	2
list all my closed issues for next week	1
list all the competencie today	2
my risk tomorrow	1
Python workshops happening in chennai on thursday	0
scala lessons learnts for next month	2
competencies available in scala between 1st of May and 2nd of December	2
Python corporate in mumbai today	0
what are all my closed apricot between 1st of May and 2nd of December	1
expert with 5 years of experience in java	3
list all my closed risk for next week	1
issues for this month	1
iOS expert in ajax	3
SAP analyst with experience less than 10 years	3
IBelong celebration in bangalore for next month	0
what are all my open tasks tomorrow	1
java proposal tomorrow	2
case studie From 17th April and 1st of May	2
list all my open issue tomorrow	1
what are all my upcoming conference I am participating on 21st April	0
my celebrations I am speaking on next tuesday	0
designer with experience more than 3 years in java	3
scala analyst in scala	3
ajax designer	3
iOS developers with 5+ years of experience	3
list all the best practice on 21st April	2
what are all my open issues for this week	1
list all my in progress task on wednesday	1
list all my initiated issues for this month	1
list all the best practice	2
oracle developers in oracle	3
designers with 5+ years of experience in scala	3
what are all my closed task on next tuesday	1
scala developer with experience less than 10 years	3
my lessons learnt between 1st of May and 2nd of December	2
my project task on next tuesday	1
oracle courses on Monday	2
my project issues on this Saturday	1
what are all my open apricot on thursday	1
UX analyst in ajax	3
apricot on wednesday	1
my proposal for this week	2
list all the designer with experience less than 10 years	3
my task From 17th April and 1st of May	1
ajax best practices for this month	2
what are all my recommended training happening in chennai for next month	0
.net analysts with 5 years of experience	3
white papers in oracle on Monday	2
what are all my upcoming corporates I am participating on wednesday	0
list all my upcoming conference From 17th April and 1st of May	0
my trainings I am participating on next tuesday	0
list all my celebrations happening in chennai on 21st April	0
list all my project risks between 1st of May and 2nd of December	1
white paper available in scala on next tuesday	2
what are all my recommended training in london on this Saturday	0
expert in scala with experience less than 10 years	3
.net analysts with 5+ years of experience	3
list all my upcoming conference I am speaking for next week	0
list all the developer with experience more than 3 years	3
iOS analysts with experience less than 10 years	3
java events in london	0
.net architects in scala	3
UX developers in oracle	3
oracle case studie on Monday	2
java white paper on thursday	2
list all my recommended events in london on thursday	0
.net developer with 2-7 years of experience	3
competencies in oracle on 21st April	2
java white papers on 21st April	2
SCALA corporates in mumbai on thursday	0
java designer with experience less than 10 years	3
UI workshop in Chennai tomorrow	0
java related proposals on wednesday	2
oracle competencie today	2
analyst with 5 years of experience in scala	3
Hub conferences I am participating on Monday	0
ajax analyst with 5+ years of experience	3
list all my upcoming conferences happening in chennai for next week	0
list all my in progress risks tomorrow	1
java conferences in mumbai for this month	0
android architects with experience more than 3 years	3
list all my in progress apricot on Monday	1
designer in scala with experience less than 10 years	3
list all my open issues today	1
list all my open tasks on this Saturday	1
my issue on thursday	1
UX expert with 5+ years of experience	3
list all my recommended celebrations in bangalore tomorrow	0
what are all my open risk on 21st April	1
architects with 2-7 years of experience in oracle	3
what are all the case studie for this week	2
java leads in scala	3
list all celebrations in bangalore for next month	0
list all my initiated tasks for next week	1
SAP lessons learnt tomorrow	2
architect with experience more than 3 years in oracle	3
what are all my open risks for this week	1
architects with experience more than 3 years in ajax	3
list all events I am participating on this Saturday	0
scala trainings for next week	2
leads with 2-7 years of experience in scala	3
SAP proposal today	2
what are all my open apricots on 21st April	1
what are all my recommended conferences in mumbai on this Saturday	0
what are all my closed tasks From 17th April and 1st of May	1
scala related lessons learnt today	2
expert with 2-7 years of experience in java	3
list all the designer in ajax	3
.net lessons learnts From 17th April and 1st of May	2
oracle proposals on thursday	2
ajax leads with experience less than 10 years	3
SAP proposal	2
case studie published in java between 1st of May and 2nd of December	2
lead with experience less than 10 years in oracle	3
SAP designer in ajax	3
what are all my in progress risks for this month	1
my apricot for this month	1
list all my in progress risk on this Saturday	1
java analysts in ajax	3
list all my initiated task on 21st April	1
what are all my initiated tasks for next month	1
what are all the celebrations in mumbai for this month	0
java architects in java	3
my project apricot for next month	1
who are all the architects in oracle	3
list all my closed task for this week	1
list all my upcoming corporate in bangalore for this month	0
my project conferences in mumbai on 21st April	0
Hub training I am organizing on 21st April	0
what are all my open issues on this Saturday	1
list all my initiated issues for next month	1
issues on Monday	1
scala architect with 2-7 years of experience	3
what are all my initiated risk From 17th April and 1st of May	1
what are all my in progress task on wednesday	1
my workshop I am participating for this month	0
d&i events in london tomorrow	0
UX celebrations I am speaking on 21st April	0
competencies available in scala today	2
what are all my open risk on next tuesday	1
UX corporates I am organizing From 17th April and 1st of May	0
my risks on this Saturday	1
scala lead with 5 years of experience	3
scala related developers with experience more than 3 years	3
leads in oracle with experience more than 3 years	3
scala best practices tomorrow	2
.net developer in oracle	3
list all my in progress issue on wednesday	1
SCALA corporate I am speaking on thursday	0
UX events in mumbai on Monday	0
IBelong corporates in newyork From 17th April and 1st of May	0
analysts with 5 years of experience	3
oracle celebrations in mumbai From 17th April and 1st of May	0
list all my project issue for next month	1
list all trainings in Chennai on Monday	0
UX training in newyork for this week	0
list all my project events in london on 21st April	0
d&i celebration in Chennai for next week	0
ajax analyst in oracle	3
experts with 5+ years of experience	3
list all my event happening in chennai on Monday	0
scala designers in java	3
my project apricot between 1st of May and 2nd of December	1
list all workshop I am organizing for this week	0
what are all my in progress issues on Monday	1
list all my in progress issues on this Saturday	1
oracle training on 21st April	2
what are all my in progress apricot between 1st of May and 2nd of December	1
java lead in java	3
what are all my closed tasks on Monday	1
d&i trainings in london on this Saturday	0
my project risk between 1st of May and 2nd of December	1
what are all my open apricots on next tuesday	1
.net courses between 1st of May and 2nd of December	2
who are all the developer in java	3
UX trainings in bangalore on wednesday	0
list all my project training in bangalore today	0
what are all my initiated issue on 21st April	1
list all trainings between 1st of May and 2nd of December	0
java trainings in mumbai tomorrow	0
java related case studie on wednesday	2
what are all the proposals on 21st April	2
what are all my recommended event in mumbai for next month	0
SCALA conference in newyork for next week	0
white papers in ajax on 21st April	2
course published in java between 1st of May and 2nd of December	2
list all corporates in Chennai for next week	0
my celebration I am participating From 17th April and 1st of May	0
competencies published in java on thursday	2
scala related analysts in oracle	3
who are all the architect with 5 years of experience	3
apricot for next month	1
