query	class
what are all my upcoming trainings in bangalore on Monday	1
list all my workshop I am participating on Monday	1
UX expert with 5 years of experience	0
list all my initiated issues on Monday	0
list all my closed apricot today	0
oracle developer with 2-7 years of experience	0
d&i corporates I am organizing on wednesday	1
what are all my recommended celebration I am speaking on wednesday	1
SAP white papers on 21st April	0
list all my upcoming conference in mumbai on next tuesday	1
ajax case studie From 17th April and 1st of May	0
SAP competencies for this week	0
my competencies on next tuesday	0
oracle lessons learnts for this week	0
iOS designer in scala	0
my conferences in Chennai for this week	1
java best practices between 1st of May and 2nd of December	0
scala analyst with 2-7 years of experience	0
.net white paper for next month	0
list all my project workshops for next month	1
ajax training today	1
list all my project apricot between 1st of May and 2nd of December	0
list all my initiated tasks tomorrow	0
designers in ajax with 2-7 years of experience	0
what are all the conferences between 1st of May and 2nd of December	1
what are all my upcoming training I am participating on next tuesday	1
Hub celebrations in newyork on 21st April	1
list all my events in newyork tomorrow	1
iOS expert with 5+ years of experience	0
list all my upcoming training I am speaking today	1
scala proposals for next month	0
list all my recommended celebrations I am speaking From 17th April and 1st of May	1
java related lessons learnts for this month	0
UX conferences I am speaking on Monday	1
java event in newyork today	1
UX workshops I am organizing on thursday	1
what are all the workshop in mumbai on thursday	1
scala designers with 5 years of experience	0
workshops in mumbai	1
list all my recommended trainings happening in chennai for this month	1
ajax white papers on this Saturday	0
my project conference in newyork for next week	1
list all my in progress tasks on this Saturday	0
oracle trainings in london for this week	1
what are all my open tasks today	0
java white papers for next week	0
list all my project event I am organizing on thursday	1
d&i conference in london on thursday	1
list all my risks for next week	0
java workshops for next week	1
what are all my recommended conferences happening in chennai on next tuesday	1
my trainings for this month	1
who are all the lead in ajax	0
ajax designer	0
what are all the courses for this week	0
architects in scala	0
Python events I am organizing From 17th April and 1st of May	1
apricot for next month	0
what are all my upcoming events I am participating on wednesday	1
Hub corporate in london on this Saturday	1
list all my project conferences in Chennai on 21st April	1
Hub conference in mumbai tomorrow	1
what are all my in progress task on wednesday	0
oracle analyst with experience less than 10 years	0
java related proposals on next tuesday	0
who are all the expert in scala	0
trainings published in java From 17th April and 1st of May	1
trainings in ajax on wednesday	1
list all my open risks for this month	0
list all my initiated task on wednesday	0
android architects in scala	0
my best practice on wednesday	0
what are all my initiated task today	0
SCALA conference in mumbai on next tuesday	1
list all my celebrations in london for next month	1
my apricots on thursday	0
list all my project workshop in newyork on this Saturday	1
.net lessons learnt on thursday	0
iOS analyst in scala	0
designers with 5 years of experience in scala	0
Python conference in london on next tuesday	1
UI corporate in london on Monday	1
experts in scala with 5+ years of experience	0
UX training I am organizing on wednesday	1
oracle events I am speaking on wednesday	1
scala related designers with 5+ years of experience	0
case studie published in java between 1st of May and 2nd of December	0
.net designers with experience less than 10 years	0
list all my project apricot for this month	0
what are all my in progress issue for next week	0
UI workshop for next month	1
scala related expert with experience less than 10 years	0
lessons learnt in ajax on next tuesday	0
java trainings tomorrow	1
my project workshops I am organizing on thursday	1
what are all my closed apricots between 1st of May and 2nd of December	0
list all conference From 17th April and 1st of May	1
architects in scala with 2-7 years of experience	0
oracle white paper for next week	0
architect in scala	0
list all my workshops I am speaking for this week	1
list all my upcoming training I am participating	1
experts with experience less than 10 years	0
android designers with 2-7 years of experience	0
list all my upcoming corporate in Chennai on 21st April	1
white papers in oracle on next tuesday	0
what are all my recommended workshop I am organizing on wednesday	1
list all my project events on thursday	1
list all workshops in Chennai	1
list all celebration I am participating on wednesday	1
UX conferences in london on thursday	1
issue on 21st April	0
architect with experience more than 3 years in ajax	0
architect with 5+ years of experience	0
courses in ajax for next month	0
list all my upcoming event in newyork for next month	1
my workshop in Chennai	1
what are all the best practice on Monday	0
my conference I am participating on this Saturday	1
iOS experts in ajax	0
my workshops I am speaking between 1st of May and 2nd of December	1
UX expert in ajax	0
proposals for next month	0
best practice in ajax on Monday	0
UI training happening in chennai today	1
IBelong corporate I am speaking today	1
scala courses on 21st April	0
list all my upcoming conference I am organizing between 1st of May and 2nd of December	1
SCALA workshop in newyork for this month	1
my project issue for next week	0
java related case studie on Monday	0
list all my celebration for this week	1
UI conferences in mumbai tomorrow	1
java trainings in bangalore for this week	1
scala related architects with 5+ years of experience	0
IBelong workshops I am organizing tomorrow	1
list all my upcoming events in bangalore on thursday	1
oracle corporate I am organizing tomorrow	1
list all my project celebration I am speaking on Monday	1
what are all my recommended event I am speaking for this month	1
java workshop I am speaking on this Saturday	1
my project event I am participating today	1
UX workshops in bangalore on Monday	1
list all my initiated task between 1st of May and 2nd of December	0
Python corporates in london for this week	1
list all my initiated apricot today	0
my white papers for this week	0
what are all the trainings tomorrow	1
Hub trainings happening in chennai	1
list all my trainings in bangalore for this month	1
list all the best practices tomorrow	0
list all the developer in java	0
list all trainings in mumbai tomorrow	1
my workshop in newyork for next week	1
what are all my in progress risks on next tuesday	0
list all the lessons learnt on Monday	0
list all my project conferences in mumbai on wednesday	1
what are all my in progress risks for this week	0
experts with experience more than 3 years	0
iOS developers in java	0
list all my issues today	0
my project event happening in chennai on Monday	1
list all celebration in mumbai between 1st of May and 2nd of December	1
analyst with 5+ years of experience in oracle	0
what are all my in progress issues for next month	0
list all my recommended workshop in mumbai for this week	1
SCALA corporates I am speaking on wednesday	1
Hub events in newyork on Monday	1
android developer with experience less than 10 years	0
java conferences I am speaking on wednesday	1
ajax analyst with experience less than 10 years	0
what are all the lessons learnts tomorrow	0
android lead with 5 years of experience	0
what are all the lessons learnts on thursday	0
what are all my recommended events in Chennai for this month	1
developer in oracle with 2-7 years of experience	0
list all training in newyork on 21st April	1
SAP leads with experience more than 3 years	0
scala best practice on next tuesday	0
competencie in ajax on next tuesday	0
UX events in mumbai on this Saturday	1
my project workshop I am participating on 21st April	1
oracle conferences in bangalore for next week	1
lead in oracle	0
list all my project celebration in bangalore tomorrow	1
case studies tomorrow	0
UI workshop From 17th April and 1st of May	1
scala related proposal for next week	0
oracle white papers for this month	0
my courses for next month	0
android developer in ajax	0
what are all the trainings in Chennai	1
my event I am organizing on Monday	1
what are all the white papers on Monday	0
UI training in newyork between 1st of May and 2nd of December	1
list all my project conferences on 21st April	1
java workshop in newyork for next week	1
java related white papers on next tuesday	0
java celebrations in bangalore on Monday	1
architect in scala with experience more than 3 years	0
oracle celebration I am participating between 1st of May and 2nd of December	1
issue on thursday	0
UI corporate in london for next week	1
list all my workshop in Chennai on wednesday	1
my project conferences in mumbai between 1st of May and 2nd of December	1
oracle developers in java	0
what are all the corporate I am organizing for this month	1
what are all my upcoming corporate in newyork on 21st April	1
lessons learnt published in java on next tuesday	0
Python training happening in chennai for this month	1
what are all the course for this month	0
list all my initiated risk for next month	0
UI corporate happening in chennai tomorrow	1
what are all the case studies tomorrow	0
scala designers in java	0
what are all my upcoming corporate I am speaking on thursday	1
SCALA corporate in bangalore for next month	1
java corporates in newyork	1
SCALA corporates I am organizing for this month	1
list all my conferences I am participating for next week	1
scala related developers with 5+ years of experience	0
list all my project task on Monday	0
list all my event I am participating	1
developers with experience more than 3 years	0
what are all the corporate I am organizing on Monday	1
SAP lessons learnt tomorrow	0
java related proposal today	0
list all my recommended corporate in mumbai on wednesday	1
UI corporates I am organizing for this week	1
what are all the conferences happening in chennai for this month	1
my best practice on 21st April	0
risks for next week	0
list all my celebrations in Chennai on thursday	1
d&i training in mumbai today	1
d&i events I am speaking on Monday	1
what are all my upcoming corporates in mumbai on Monday	1
scala case studies on thursday	0
expert with 2-7 years of experience in java	0
what are all the white papers	0
scala related proposals today	0
scala analysts in scala	0
scala case studies for next week	0
Hub conferences in mumbai for this month	1
java related best practices on next tuesday	0
java proposal	0
what are all the celebration in Chennai From 17th April and 1st of May	1
scala lessons learnt on thursday	0
what are all the corporates in london on next tuesday	1
scala lessons learnts on thursday	0
IBelong celebration happening in chennai on 21st April	1
developer with 2-7 years of experience in oracle	0
what are all my recommended trainings I am speaking	1
UI events for next month	1
java related courses on next tuesday	0
competencie in oracle for this month	0
java related best practices From 17th April and 1st of May	0
list all my recommended conferences happening in chennai for next week	1
scala related competencie today	0
scala best practices on next tuesday	0
SAP competencie for this week	0
case studies in oracle on thursday	0
list all my upcoming training I am speaking on Monday	1
Python event in london on wednesday	1
oracle corporates I am organizing for next month	1
my celebrations in Chennai on this Saturday	1
Hub conferences I am organizing today	1
android architect with 5 years of experience	0
SCALA conference in london for next month	1
.net designers with 5 years of experience	0
what are all the event I am participating on wednesday	1
list all my recommended training in bangalore	1
d&i trainings I am speaking on Monday	1
lessons learnts available in scala for next month	0
lead with 5+ years of experience	0
scala related white paper for next week	0
iOS lead in java	0
list all the lessons learnt for this week	0
what are all the workshop in mumbai for this month	1
list all my upcoming corporate in mumbai for next month	1
list all my project risks on Monday	0
what are all my recommended workshops in mumbai on next tuesday	1
SAP best practices on 21st April	0
what are all the events happening in chennai tomorrow	1
list all the white papers From 17th April and 1st of May	0
what are all my upcoming events happening in chennai on wednesday	1
list all my open task on next tuesday	0
SCALA celebrations between 1st of May and 2nd of December	1
list all the course on thursday	0
what are all my open tasks for next week	0
SCALA training in london on this Saturday	1
what are all my upcoming celebration for this month	1
developers in oracle with 5 years of experience	0
list all my upcoming events in london today	1
Python events in Chennai for next week	1
UX corporate in bangalore on thursday	1
IBelong event happening in chennai between 1st of May and 2nd of December	1
java related best practices on wednesday	0
what are all my initiated issue for this week	0
what are all my recommended conferences in bangalore for next month	1
.net lessons learnts From 17th April and 1st of May	0
leads in oracle with experience less than 10 years	0
Hub corporate I am organizing tomorrow	1
.net designers with experience more than 3 years	0
ajax white papers on wednesday	0
competencie published in java	0
my lessons learnt From 17th April and 1st of May	0
iOS analyst with 5 years of experience	0
architect with 2-7 years of experience in ajax	0
SCALA corporates in newyork tomorrow	1
d&i conferences I am participating between 1st of May and 2nd of December	1
lessons learnts in ajax From 17th April and 1st of May	0
my project conferences in bangalore today	1
my project celebrations in mumbai on thursday	1
risk on next tuesday	0
my project conferences between 1st of May and 2nd of December	1
list all my workshop I am speaking From 17th April and 1st of May	1
SAP designers in ajax	0
SAP case studies on this Saturday	0
UX training in Chennai for next month	1
Hub events I am speaking on wednesday	1
my conferences in newyork on wednesday	1
UI celebration I am organizing between 1st of May and 2nd of December	1
Python workshop I am speaking on this Saturday	1
courses published in java for next month	0
UX event I am organizing tomorrow	1
list all my upcoming events I am organizing on wednesday	1
designer with 5 years of experience	0
who are all the analyst in ajax	0
UI celebration I am speaking on Monday	1
proposals available in scala for next week	0
list all trainings in newyork on wednesday	1
list all the case studies between 1st of May and 2nd of December	0
ajax training on next tuesday	1
my project corporates in newyork on 21st April	1
Python workshop I am speaking between 1st of May and 2nd of December	1
Hub celebration for next week	1
oracle white paper From 17th April and 1st of May	0
list all my project workshop in mumbai on Monday	1
android analyst in scala	0
best practice on wednesday	0
what are all my closed tasks tomorrow	0
what are all my upcoming celebrations I am speaking for this month	1
list all my workshops in bangalore on thursday	1
scala related best practices	0
my project event in mumbai on thursday	1
IBelong celebration in mumbai between 1st of May and 2nd of December	1
white paper published in java for next month	0
what are all the event I am participating on thursday	1
d&i conferences in mumbai on wednesday	1
my project event in bangalore for next week	1
UI events in london today	1
architect with experience more than 3 years	0
oracle trainings in mumbai for next week	1
list all my workshops I am organizing today	1
list all my initiated task on this Saturday	0
list all celebrations I am organizing on this Saturday	1
what are all my recommended workshops in mumbai tomorrow	1
IBelong training in london tomorrow	1
oracle workshop in mumbai for this week	1
UX event in bangalore for next month	1
d&i corporate in bangalore on next tuesday	1
java celebrations in london for this week	1
list all conferences I am organizing for next week	1
list all my open issues today	0
SCALA trainings in mumbai on 21st April	1
list all training I am organizing between 1st of May and 2nd of December	1
my project celebrations I am speaking on next tuesday	1
java related lessons learnts on Monday	0
list all celebrations in mumbai on thursday	1
white papers published in java between 1st of May and 2nd of December	0
list all the designer in java	0
competencie available in scala for this week	0
courses available in scala for this month	0
training available in scala today	1
java related proposals on thursday	0
list all my upcoming conference in Chennai on Monday	1
IBelong corporate I am speaking on wednesday	1
lead with experience more than 3 years	0
java trainings in newyork for next month	1
scala training tomorrow	1
what are all the event I am speaking on this Saturday	1
.net designer in oracle	0
list all my recommended corporates I am participating for next month	1
d&i event in Chennai on thursday	1
java corporate I am organizing for next week	1
SAP designers in oracle	0
list all training in bangalore on next tuesday	1
best practices available in scala on 21st April	0
SAP best practice on wednesday	0
IBelong training I am participating on Monday	1
list all the case studie for this week	0
list all workshop in mumbai on this Saturday	1
java event happening in chennai on thursday	1
list all the developer in scala	0
course in ajax on thursday	0
my project event happening in chennai for next month	1
issue for next month	0
what are all the celebrations in newyork between 1st of May and 2nd of December	1
SAP course	0
IBelong celebrations happening in chennai From 17th April and 1st of May	1
UX conference in london for this month	1
.net analyst in oracle	0
SCALA training today	1
list all my initiated task for this month	0
issues for next week	0
java proposal between 1st of May and 2nd of December	0
SAP case studies for this month	0
best practice on this Saturday	0
android analysts with 5 years of experience	0
scala architect with experience more than 3 years	0
list all my upcoming event in bangalore on thursday	1
java courses	0
list all workshops for this month	1
UI celebration in mumbai for this week	1
my course on this Saturday	0
lessons learnt in oracle on this Saturday	0
what are all my upcoming trainings on thursday	1
.net analysts with experience more than 3 years	0
who are all the developer in scala	0
what are all my recommended workshop in london for this week	1
UI conference in newyork for next month	1
what are all the workshops I am speaking on next tuesday	1
SCALA workshop I am organizing	1
UX analysts in oracle	0
what are all my recommended celebrations in london From 17th April and 1st of May	1
best practices in oracle for this week	0
what are all the trainings From 17th April and 1st of May	1
list all conference in mumbai for this month	1
training tomorrow	1
list all my project corporates I am participating on thursday	1
list all my project conference in Chennai	1
list all my recommended corporate in london on this Saturday	1
proposals in oracle From 17th April and 1st of May	0
designers in oracle with 5 years of experience	0
IBelong event in bangalore on wednesday	1
what are all the corporates between 1st of May and 2nd of December	1
proposals on wednesday	0
d&i workshop I am participating for next week	1
java conference in Chennai for this week	1
SAP analyst in scala	0
course in ajax	0
list all training in bangalore on 21st April	1
list all my project corporates I am organizing on Monday	1
what are all the best practice From 17th April and 1st of May	0
ajax trainings on next tuesday	1
IBelong trainings in london for next week	1
what are all my initiated issues tomorrow	0
SAP lessons learnts on 21st April	0
UX trainings happening in chennai for next week	1
UX developers in ajax	0
Hub workshops on thursday	1
java leads with 5 years of experience	0
oracle architect with 5 years of experience	0
oracle architects in scala	0
analysts in java with experience less than 10 years	0
my apricots tomorrow	0
SCALA celebrations in bangalore for next month	1
list all my project celebration I am participating on wednesday	1
list all workshops in mumbai on thursday	1
my issue From 17th April and 1st of May	0
list all my upcoming workshop I am participating on thursday	1
android architect in oracle	0
d&i celebrations I am organizing for this month	1
list all my workshop in Chennai on 21st April	1
what are all my open risks for next month	0
SCALA workshops happening in chennai for this week	1
ajax training on Monday	1
UI workshops in bangalore for next month	1
Hub corporate in bangalore on 21st April	1
java leads in java	0
trainings on this Saturday	1
oracle training on next tuesday	1
java conference tomorrow	1
list all my project apricot on next tuesday	0
Hub corporate in Chennai From 17th April and 1st of May	1
SAP case studie between 1st of May and 2nd of December	0
list all corporates in london for next month	1
my task between 1st of May and 2nd of December	0
list all conference happening in chennai on thursday	1
what are all the celebrations in Chennai between 1st of May and 2nd of December	1
list all my corporates happening in chennai tomorrow	1
risk between 1st of May and 2nd of December	0
oracle best practice on 21st April	0
what are all my open risks on Monday	0
what are all my in progress tasks for this month	0
what are all my recommended trainings in bangalore on thursday	1
what are all my open issue on next tuesday	0
list all my trainings in mumbai between 1st of May and 2nd of December	1
my conferences in mumbai on thursday	1
java event I am participating on wednesday	1
list all my project corporate in Chennai for this month	1
training From 17th April and 1st of May	1
scala related course today	0
competencie in oracle on this Saturday	0
what are all my open risks on next tuesday	0
list all the case studie on thursday	0
list all the proposal on next tuesday	0
list all my recommended workshops in newyork on next tuesday	1
ajax developer with experience more than 3 years	0
scala related competencie on next tuesday	0
IBelong trainings in bangalore for this week	1
java corporates I am organizing on 21st April	1
SCALA celebrations I am organizing today	1
oracle lessons learnt on next tuesday	0
list all my upcoming training in london today	1
analyst in oracle	0
UX architect in oracle	0
list all workshops in bangalore on this Saturday	1
what are all my recommended corporate in london From 17th April and 1st of May	1
list all my closed risks for this month	0
case studie published in java for this week	0
d&i workshops in Chennai on Monday	1
course in oracle on 21st April	0
competencies in ajax on Monday	0
architects in ajax with experience less than 10 years	0
scala case studie for this month	0
list all the analysts in scala	0
list all training in Chennai on Monday	1
competencies for next month	0
Python training I am participating between 1st of May and 2nd of December	1
d&i corporate I am participating for next month	1
oracle proposal on wednesday	0
my workshops in newyork	1
UX conference I am speaking on 21st April	1
what are all my closed task for this month	0
list all my upcoming conferences in london for this week	1
java course From 17th April and 1st of May	0
IBelong workshop in mumbai tomorrow	1
java corporate happening in chennai on 21st April	1
list all my issues on next tuesday	0
who are all the architects with experience less than 10 years	0
scala related competencie tomorrow	0
java celebration on this Saturday	1
java related courses for next week	0
my risk for this month	0
.net competencies today	0
list all my project conferences in Chennai on thursday	1
SCALA trainings in london for this week	1
SCALA corporate in london today	1
lessons learnts on next tuesday	0
what are all my open task for this month	0
my project apricots on next tuesday	0
list all my training happening in chennai today	1
what are all my in progress apricots today	0
my celebrations happening in chennai for this month	1
what are all the corporate in mumbai for this month	1
java lessons learnts for this month	0
lead with experience more than 3 years in oracle	0
list all trainings happening in chennai on 21st April	1
list all my closed issues on next tuesday	0
what are all the best practice on thursday	0
my project tasks for next month	0
proposal available in scala for next week	0
java analyst in oracle	0
what are all my recommended celebration happening in chennai From 17th April and 1st of May	1
IBelong workshops I am speaking for this week	1
lessons learnts From 17th April and 1st of May	0
list all my conference in Chennai on thursday	1
.net competencie for next week	0
list all my open issue on this Saturday	0
my proposal between 1st of May and 2nd of December	0
SCALA trainings in mumbai for this week	1
oracle experts in scala	0
list all my upcoming workshops happening in chennai for this week	1
.net best practice on Monday	0
UI events on 21st April	1
SAP analysts with 2-7 years of experience	0
list all my recommended workshop I am speaking on 21st April	1
what are all my initiated risks From 17th April and 1st of May	0
java leads in ajax	0
list all the competencie on Monday	0
list all my recommended workshop in mumbai between 1st of May and 2nd of December	1
java related proposal on wednesday	0
UI event I am organizing tomorrow	1
training for this week	1
scala analyst in scala	0
oracle case studies on this Saturday	0
oracle trainings	1
what are all my in progress task on next tuesday	0
java case studies for this week	0
list all my open risks on 21st April	0
UI workshops in mumbai for next week	1
IBelong event I am participating	1
list all the designer with 5 years of experience	0
what are all my in progress tasks for next week	0
ajax trainings for this week	1
developer with 5 years of experience in java	0
UI conference in london on Monday	1
java lead with 5 years of experience	0
scala competencie From 17th April and 1st of May	0
scala related competencies for this week	0
list all the leads with 5 years of experience	0
my conferences in newyork for this week	1
list all conference in bangalore for next week	1
my project task on thursday	0
what are all the conferences I am organizing tomorrow	1
Python events in mumbai From 17th April and 1st of May	1
case studies in oracle From 17th April and 1st of May	0
UI celebrations I am participating on 21st April	1
ajax experts with 5+ years of experience	0
my project training I am speaking From 17th April and 1st of May	1
what are all my recommended trainings happening in chennai on Monday	1
java best practices	0
leads with experience more than 3 years	0
list all my upcoming celebrations for this month	1
java related competencie	0
UI celebration in mumbai on next tuesday	1
oracle analysts with experience less than 10 years	0
UI corporates in Chennai for next month	1
Python events I am participating for this week	1
ajax case studies on wednesday	0
java related competencies on Monday	0
SAP designer in oracle	0
my lessons learnts on 21st April	0
course in oracle for this month	0
what are all the best practices today	0
scala related trainings on thursday	1
my courses on thursday	0
d&i event in Chennai for next week	1
oracle conference in mumbai for this week	1
Python workshop in bangalore	1
d&i workshop I am speaking for this week	1
what are all my recommended corporate I am speaking between 1st of May and 2nd of December	1
scala related proposals on 21st April	0
what are all my upcoming workshops in mumbai on wednesday	1
what are all the workshops happening in chennai between 1st of May and 2nd of December	1
oracle developer with 5 years of experience	0
IBelong events in london on 21st April	1
SCALA training I am organizing for next month	1
what are all my recommended workshops happening in chennai between 1st of May and 2nd of December	1
scala expert	0
list all my project celebration in mumbai	1
UX architects with experience more than 3 years	0
UX experts in ajax	0
list all my closed apricot on thursday	0
UI workshop in Chennai on wednesday	1
what are all my upcoming workshops happening in chennai on 21st April	1
my project conference I am participating for this month	1
what are all my open apricots on wednesday	0
list all workshop I am organizing for this month	1
risks tomorrow	0
list all the proposal	0
list all the lessons learnt on thursday	0
who are all the experts with 5+ years of experience	0
scala related competencie	0
white papers available in scala	0
developer in scala with 5 years of experience	0
SAP white papers for next month	0
UX training on Monday	1
UI trainings in bangalore on thursday	1
IBelong conferences in newyork for this week	1
oracle events happening in chennai	1
list all my corporate in newyork for this week	1
best practice available in scala on 21st April	0
UX corporate in london on this Saturday	1
what are all my open apricots on 21st April	0
tasks for next week	0
Hub corporate on this Saturday	1
list all the lead with 5+ years of experience	0
UI event in Chennai today	1
Hub events in bangalore on 21st April	1
java related competencie today	0
UI training in bangalore on thursday	1
java events happening in chennai for next month	1
what are all the proposals for this month	0
proposal available in scala on thursday	0
ajax proposal on 21st April	0
my celebrations in newyork for next month	1
what are all the events I am speaking From 17th April and 1st of May	1
best practices for next month	0
list all my open apricots on 21st April	0
list all my task From 17th April and 1st of May	0
who are all the analysts in java	0
SAP competencie on this Saturday	0
SCALA workshop in Chennai for this month	1
list all my project apricots today	0
list all my celebration I am organizing on thursday	1
what are all the trainings between 1st of May and 2nd of December	1
UX training in bangalore for this month	1
Hub events in bangalore today	1
list all my initiated issues tomorrow	0
my workshops in bangalore From 17th April and 1st of May	1
case studie in ajax on this Saturday	0
list all my project risks on thursday	0
list all event I am participating	1
what are all the course on 21st April	0
Hub training I am participating on this Saturday	1
what are all my initiated risks on wednesday	0
what are all the events in bangalore on wednesday	1
best practices published in java between 1st of May and 2nd of December	0
UX celebration I am organizing on Monday	1
ajax proposals today	0
oracle leads in ajax	0
SCALA workshop in bangalore on 21st April	1
developer in oracle with experience less than 10 years	0
java celebration in mumbai on wednesday	1
scala related courses tomorrow	0
oracle lessons learnts on wednesday	0
Python conference in london today	1
IBelong events in london on wednesday	1
list all my project events happening in chennai for next week	1
list all my celebrations in newyork for this week	1
developers in java with 5+ years of experience	0
what are all my upcoming event I am organizing for this week	1
scala trainings on this Saturday	1
ajax architects with 5+ years of experience	0
list all my upcoming trainings I am speaking for this week	1
what are all my upcoming workshop in Chennai on wednesday	1
scala related analyst with 5 years of experience	0
oracle corporate in Chennai for next month	1
java related trainings for next week	1
d&i workshop I am organizing on Monday	1
list all the best practice for next month	0
list all my trainings happening in chennai From 17th April and 1st of May	1
list all my recommended corporate in london today	1
oracle developers in ajax	0
list all my open issue for this month	0
d&i corporates I am organizing	1
my project corporate in Chennai From 17th April and 1st of May	1
scala lessons learnts on 21st April	0
what are all the trainings in newyork tomorrow	1
what are all the trainings in bangalore for this week	1
white paper available in scala on thursday	0
SAP analysts in scala	0
java lessons learnts on 21st April	0
scala designers in ajax	0
list all workshops for next month	1
list all my recommended workshop happening in chennai between 1st of May and 2nd of December	1
my course on next tuesday	0
trainings in oracle today	1
UI events in bangalore on wednesday	1
what are all my upcoming celebration I am speaking for next month	1
what are all the workshop I am organizing on 21st April	1
.net courses for this month	0
course in ajax From 17th April and 1st of May	0
my project conference in mumbai today	1
java architects in java	0
ajax lessons learnt for next month	0
java lessons learnts between 1st of May and 2nd of December	0
ajax best practice on wednesday	0
oracle courses on thursday	0
list all the lessons learnt on 21st April	0
white paper available in scala on this Saturday	0
oracle proposals today	0
list all my project issue on wednesday	0
list all my task on wednesday	0
proposal available in scala on this Saturday	0
workshops tomorrow	1
list all my open apricots tomorrow	0
UI celebration on thursday	1
what are all my open risk on 21st April	0
what are all the training I am participating on next tuesday	1
oracle workshops today	1
SAP leads in scala	0
IBelong trainings I am speaking for this month	1
proposals in oracle on this Saturday	0
list all workshop in bangalore for next week	1
scala designer in ajax	0
list all the proposals tomorrow	0
what are all the best practice on this Saturday	0
Python corporate I am organizing	1
what are all the conferences in mumbai on wednesday	1
list all my project celebration happening in chennai between 1st of May and 2nd of December	1
what are all the events I am participating for next week	1
Python conference on wednesday	1
scala developer with 5 years of experience	0
training published in java on next tuesday	1
what are all my recommended workshop in newyork From 17th April and 1st of May	1
list all my upcoming events in mumbai on Monday	1
best practices published in java for next month	0
my celebration happening in chennai for next week	1
oracle courses today	0
ajax developers with 5+ years of experience	0
white papers in oracle for this month	0
my project workshops I am participating for this week	1
my issues for next month	0
scala related white paper From 17th April and 1st of May	0
list all trainings in mumbai for this week	1
lessons learnts on wednesday	0
oracle lead with experience more than 3 years	0
oracle event in Chennai today	1
what are all my recommended workshops happening in chennai for this week	1
iOS designer with 5+ years of experience	0
expert in java with experience less than 10 years	0
list all my project task on next tuesday	0
what are all the corporate in Chennai on next tuesday	1
best practices in ajax on next tuesday	0
what are all my upcoming corporate in mumbai From 17th April and 1st of May	1
list all my issue tomorrow	0
list all my recommended corporate in london From 17th April and 1st of May	1
SCALA corporate happening in chennai for this month	1
what are all the white papers between 1st of May and 2nd of December	0
proposal available in scala on next tuesday	0
trainings in newyork	1
d&i events in mumbai	1
list all my project conference today	1
java competencies tomorrow	0
what are all my upcoming trainings I am speaking on wednesday	1
UX event in mumbai on 21st April	1
case studie available in scala on next tuesday	0
ajax developer	0
my trainings I am speaking today	1
case studie available in scala on Monday	0
scala lessons learnts tomorrow	0
list all my recommended conference I am organizing for next week	1
list all the developers in java	0
java architects with experience more than 3 years	0
